GEOID	INTPTLAT	INTPTLONG
10200	43.234879	-77.6008874
10300	43.2170249	-77.6071852
10400	43.2034004	-77.6098799
10500	43.2173186	-77.5795332
10601	43.2048329	-77.5693706
10602	43.2042351	-77.5921204
10700	43.2266713	-77.5450738
10800	43.2109441	-77.54527
10901	43.1922795	-77.5728426
10902	43.197105	-77.5516421
11000	43.1885104	-77.535297
11100	43.1738706	-77.5431522
11201	43.2199662	-77.5221715
11203	43.2382611	-77.5029247
11205	43.2221603	-77.4826547
11207	43.2061525	-77.4937761
11208	43.206606	-77.4571958
11301	43.2508125	-77.4079813
11302	43.2491774	-77.455567
11400	43.2115156	-77.4091677
11501	43.1873625	-77.4509341
11503	43.1676952	-77.5026833
11504	43.1637221	-77.457011
11505	43.1430975	-77.4033778
11601	43.1241416	-77.4568309
11603	43.1280576	-77.5024212
11604	43.1406444	-77.5101856
11605	43.1393965	-77.479275
11703	43.1028109	-77.4008057
11705	43.0675608	-77.4660797
11706	43.0618958	-77.4494533
11707	43.0763868	-77.4001312
11708	43.049921	-77.4199961
11800	43.0994653	-77.4430687
11901	43.113553	-77.4570188
11902	43.0888409	-77.4655933
12000	43.1097635	-77.4851672
12100	43.1112925	-77.4906054
12201	43.1137509	-77.5239594
12202	43.092052	-77.4935182
12301	43.0890894	-77.5288463
12304	43.0634927	-77.5075766
12305	43.0485205	-77.5118176
12306	43.0527451	-77.5482627
12401	42.9543899	-77.5953329
12402	42.9911314	-77.5325184
12500	43.1461506	-77.5295356
12600	43.1290039	-77.5400072
12700	43.129031	-77.5611705
12800	43.129872	-77.5840252
12900	43.1209036	-77.5819477
13001	43.0984595	-77.6253053
13002	43.1067086	-77.5687602
13101	43.0845044	-77.5831821
13103	43.0798676	-77.6788655
13104	43.0811966	-77.6335356
13203	43.057327	-77.5928456
13204	43.0396701	-77.6267326
13205	43.0533371	-77.6842487
13206	43.0335452	-77.6867472
13300	42.9713291	-77.6731429
13401	43.2649686	-77.6359915
13402	43.2973331	-77.694532
13503	43.2933785	-77.7293844
13505	43.2170278	-77.7063916
13506	43.2289273	-77.7280052
13507	43.2520335	-77.7072698
13508	43.2584456	-77.7338493
13601	43.2420711	-77.6529987
13603	43.2618191	-77.6746445
13604	43.2453684	-77.6788132
13701	43.2458294	-77.6300868
13702	43.2490356	-77.6401994
13800	43.2287439	-77.6376411
13901	43.2226336	-77.6507716
13902	43.2099077	-77.6527061
14001	43.2310289	-77.677947
14003	43.2160902	-77.6867451
14004	43.2146208	-77.6682627
14102	43.1994234	-77.6830007
14103	43.2049938	-77.7156576
14104	43.1921265	-77.7243233
14202	43.1471742	-77.7371012
14203	43.1719709	-77.7170303
14204	43.1536877	-77.7244289
14301	43.1695315	-77.6909249
14302	43.1533735	-77.7043716
14400	43.1382879	-77.6884913
14501	43.1156192	-77.7605899
14503	43.1199795	-77.7352914
14504	43.1150546	-77.7065612
14505	43.1140515	-77.7977835
14601	43.0727637	-77.8076578
14602	43.0744693	-77.7435876
14700	43.0092222	-77.8159281
14802	43.2392389	-77.8043179
14803	43.3181032	-77.7850479
14804	43.2881457	-77.785985
14901	43.1857382	-77.8104262
14903	43.1574111	-77.8489406
14905	43.1435351	-77.7686635
14906	43.1745725	-77.7905733
15000	43.0772852	-77.8725573
15101	43.3157886	-77.8755129
15102	43.3307103	-77.9528648
15200	43.2450596	-77.9324553
15301	43.204848	-77.9609087
15303	43.2036061	-77.9387981
15304	43.2161824	-77.9306616
15400	43.1765843	-77.9255865
980000	43.1212258	-77.6686031
980100	43.2326176	-77.5682474
